ORDER_NUMBER,HEADER_ID,SET_NAME,SET_ID,SHIPMENT_NUM,ORDER_TYPE,ORDER_TYPE_ID,FLOW_STATUS_CODE,SHIP_FROM_ORG_ID,OPT_IN_OUT,SHIPPING_METHOD_CODE,SHIPMENT_AMOUNT,DELIVERY_ID,SHIP_FROM,SHIP_TO,OTM_IB_SHIPPING_ROUTE_CODE,SHIPMENT_PRIORITY_CODE,BOOKED_DATE,ROUTE_DERIVED,MFG_DATE,CM_SSD,PACKOUT_DATE,DELIVERY_CREATED,PICK_RELEASED,EXPECTED_SLC_SD,ACTUAL_SLC_SD,EXPECTED_DELIVERY_DATE,DELIVERED_DATE,LAST_MILESTONE,FISCAL_MONTH,FISCAL_QUARTER
"104,203,512","610,156,085",9,"632,051,344",104203512-9,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_PRM,"1,313","119,180,640",INFYJMX,US,COC-SLCGUADSH,PR7,04/07/2017 17:45:45,04/25/2017 14:09:39,04/27/2017 19:04:00,05/05/2017 23:59:00,04/27/2017 17:03:44,04/29/2017 12:38:16,05/01/2017 04:52:07,05/08/2017 23:59:00,05/02/2017 19:27:50,05/11/2017 23:59:00,,CUSTOMS CLEARANCE,MAY-17,Q4FY17
"104,262,689","610,288,615",1,"632,060,354",104262689-1,Standard Infosys - UKH,"700,187",CLOSED,383,S,000001_CPU_L_LTL,406,"119,183,413",INFYJMX,BE,COC-SLCGUADSH,PR7,04/20/2017 07:54:33,04/20/2017 08:04:01,04/28/2017 22:20:00,05/09/2017 23:59:00,04/28/2017 19:10:20,04/29/2017 20:15:25,04/30/2017 03:56:32,05/10/2017 23:59:00,05/04/2017 11:17:30,05/10/2017 23:59:00,05/04/2017 11:29:18,SHIP CONFIRM,MAY-17,Q4FY17
"103,105,554","608,125,452",11,"627,626,652",103105554-11,Internal Infosys - NL,"700,446",CLOSED,383,C,000002_INFY_L_LTL,"11,109","118,698,950",INFYJMX,IN,COC-SLCGUADSH,PR9,09/20/2016 05:21:13,09/20/2016 05:37:48,12/08/2016 05:01:00,06/15/2017 23:59:00,12/01/2016 13:09:03,03/10/2017 00:57:17,05/12/2017 00:25:10,06/16/2017 23:59:00,05/13/2017 11:42:33,06/27/2017 23:59:00,05/18/2017 00:44:00,SHIP CONFIRM,JUL-17,Q4FY17
"102,375,467","607,191,009",4,"625,259,976",102375467-4,Standard Infosys - UKH,"700,187",CLOSED,383,C,000002_INFY_L_EXP,"20,782","116,116,165",INFYJMX,DK,CODC-SLCGUADSH-SLCROERMOND,PR7,05/04/2016 05:52:51,,05/11/2016 07:33:00,05/12/2017 23:59:00,05/10/2016 10:18:08,05/20/2016 11:22:44,05/22/2016 11:39:20,05/23/2017 23:59:00,05/23/2016 07:30:47,05/26/2017 23:59:00,05/24/2016 00:35:41,,MAY-17,Q4FY17
"102,068,439","606,791,995",7,"624,204,030",102068439-7,Internal Infosys - US,"700,442",CLOSED,383,C,000002_INFY_L_LTL,0,"119,078,549",INFYJMX,US,COC-SLCGUADSH,PR3,03/09/2016 10:28:42,03/09/2016 10:37:13,04/18/2017 16:23:00,04/20/2017 23:59:00,04/18/2017 15:31:58,04/18/2017 21:09:06,04/19/2017 02:26:51,04/21/2017 23:59:00,04/19/2017 16:12:45,05/02/2017 23:59:00,,SHIP CONFIRM,MAY-17,Q4FY17
"102,427,005","607,255,608",5,"625,406,342",102427005-5,Standard Infosys - US,"700,227",,383,S,000001_CPU_L_LTL,,,INFYJMX,US,,PR7,05/13/2016 14:40:14,05/13/2016 17:18:26,,05/30/2017 23:59:00,,,,,,06/02/2017 23:59:00,,SHIP CONFIRM,JUN-17,Q4FY17
"900,100,320","611,000,369",2,"636,532,375",900100320-2,Replacement - US,"700,044",SHIPPED,383,C,000002_INFY_L_PRM,"3,912","120,319,129",INFYJMX,US,COC-SLCGUADSH,PR1,07/10/2017 05:11:35,07/10/2017 05:57:48,07/12/2017 15:06:00,07/12/2017 23:59:00,07/12/2017 09:12:39,07/12/2017 18:15:21,07/13/2017 00:18:02,07/13/2017 23:59:00,07/13/2017 12:40:20,07/19/2017 23:59:00,07/14/2017 08:28:00,SHIP CONFIRM,JUL-17,Q4FY17
"104,708,578","611,002,772",1,"636,544,399",104708578-1,Standard Infosys - JPN,"700,226",CLOSED,383,C,000002_INFY_L_LTL,160,"120,357,139",INFYJMX,JP,CODC-SLCGUADSH-SLCTOKYO,PR5,07/10/2017 05:43:37,07/10/2017 05:47:46,07/11/2017 18:39:00,07/13/2017 23:59:00,07/11/2017 17:27:23,07/17/2017 23:33:15,07/18/2017 08:32:21,07/25/2017 23:59:00,07/20/2017 00:50:52,07/26/2017 23:59:00,07/21/2017 01:14:00,SHIP CONFIRM,JUL-17,Q4FY17
"102,670,295","607,577,527",12,"626,189,970",102670295-12,Standard Infosys - AUS,"700,203",CLOSED,383,C,000002_INFY_L_LTL,"2,679","119,155,911",INFYJMX,AU,COC-SLCGUADSH,PR3,06/28/2016 21:36:24,06/28/2016 21:41:46,04/27/2017 12:29:00,04/27/2017 23:59:00,04/27/2017 11:23:49,04/27/2017 15:57:59,04/30/2017 03:17:46,04/28/2017 23:59:00,05/01/2017 09:17:54,05/11/2017 23:59:00,05/10/2017 14:02:00,DELIVERED,MAY-17,Q4FY17
"104,550,828","610,695,587",4,"634,357,334",104550828-4,Standard Infosys - US,"700,227",CLOSED,383,S,000001_FDEN_P_GND,"1,910","119,731,911",INFYJMX,US,COC-SLCGUADSH,PR7,06/12/2017 13:33:21,06/12/2017 13:52:54,06/13/2017 21:04:00,06/15/2017 23:59:00,06/13/2017 18:51:17,06/14/2017 00:28:40,06/14/2017 06:14:12,06/16/2017 23:59:00,06/15/2017 14:16:15,06/20/2017 23:59:00,06/20/2017 19:31:00,SHIP CONFIRM,JUN-17,Q4FY17
"104,550,828","610,695,587",1,"634,357,331",104550828-1,Standard Infosys - US,"700,227",CLOSED,383,S,000001_FDEN_P_GND,"1,872","119,731,909",INFYJMX,US,COC-SLCGUADSH,PR7,06/12/2017 13:33:21,06/12/2017 13:52:54,06/13/2017 21:04:00,06/15/2017 23:59:00,06/13/2017 19:21:43,06/14/2017 00:28:40,06/14/2017 06:14:11,06/16/2017 23:59:00,06/15/2017 14:15:54,06/20/2017 23:59:00,06/20/2017 19:31:00,SHIP CONFIRM,JUN-17,Q4FY17
"104,550,828","610,695,587",2,"634,357,332",104550828-2,Standard Infosys - US,"700,227",CLOSED,383,S,000001_FDEN_P_GND,"1,824","119,747,859",INFYJMX,US,COC-SLCGUADSH,PR7,06/12/2017 13:33:21,06/12/2017 13:52:54,06/14/2017 02:22:00,06/15/2017 23:59:00,06/13/2017 21:54:51,06/14/2017 06:08:47,06/14/2017 07:24:42,06/16/2017 23:59:00,06/15/2017 14:15:47,06/20/2017 23:59:00,06/23/2017 07:52:00,SHIP CONFIRM,JUN-17,Q4FY17
"104,550,828","610,695,587",3,"634,357,333",104550828-3,Standard Infosys - US,"700,227",CLOSED,383,S,000001_FDEN_P_GND,"1,920","119,731,910",INFYJMX,US,COC-SLCGUADSH,PR7,06/12/2017 13:33:21,06/12/2017 13:52:54,06/13/2017 21:04:00,06/15/2017 23:59:00,06/13/2017 17:50:22,06/14/2017 00:28:40,06/14/2017 06:14:11,06/16/2017 23:59:00,06/15/2017 14:20:50,06/20/2017 23:59:00,06/20/2017 19:31:00,SHIP CONFIRM,JUN-17,Q4FY17
"102,874,909","607,836,948",1,"626,987,665",102874909-1,Internal Infosys - NL,"700,446",CLOSED,383,C,000002_INFY_L_LTL,0,"119,282,499",INFYJMX,SG,COC-SLCGUADSH,PR3,08/01/2016 20:52:03,08/01/2016 21:03:19,05/12/2017 20:41:00,05/12/2017 23:59:00,05/12/2017 18:38:39,05/13/2017 00:51:22,05/13/2017 01:01:21,05/15/2017 23:59:00,05/15/2017 11:40:05,05/23/2017 23:59:00,05/21/2017 20:07:00,SHIP CONFIRM,MAY-17,Q4FY17
"102,236,501","607,011,397",2,"626,592,923",102236501-2,Internal Infosys - US,"700,442",CLOSED,383,C,000002_INFY_L_LTL,0,"119,222,933",INFYJMX,US,COC-SLCGUADSH,PR3,04/09/2016 05:18:11,07/21/2016 01:37:40,05/04/2017 12:50:00,05/04/2017 23:59:00,05/04/2017 10:23:30,05/04/2017 17:53:12,05/04/2017 18:11:54,05/05/2017 23:59:00,05/05/2017 16:17:36,05/15/2017 23:59:00,05/12/2017 07:20:00,SHIP CONFIRM,MAY-17,Q4FY17
"102,849,382","607,805,405",55,"626,844,093",102849382-55,Standard Infosys - UKH,"700,187",CLOSED,383,C,000002_INFY_L_LTL,"7,065","119,297,280",INFYJMX,QA,CODC-SLCGUADSH-SLCROERMOND,PR3,07/28/2016 13:23:16,07/29/2016 05:41:58,05/09/2017 22:23:00,05/12/2017 23:59:00,05/09/2017 19:21:46,05/16/2017 03:24:23,05/16/2017 03:39:16,05/23/2017 23:59:00,05/16/2017 11:31:27,05/29/2017 23:59:00,05/28/2017 02:00:00,SHIP CONFIRM,JUN-17,Q4FY17
"102,849,382","607,805,405",58,"626,844,097",102849382-58,Standard Infosys - UKH,"700,187",CLOSED,383,C,000002_INFY_L_LTL,"7,065","119,154,611",INFYJMX,QA,CODC-SLCGUADSH-SLCROERMOND,PR3,07/28/2016 13:23:16,07/29/2016 05:41:59,04/22/2017 10:45:00,04/24/2017 23:59:00,04/22/2017 07:30:46,04/27/2017 11:54:29,04/27/2017 12:15:49,05/04/2017 23:59:00,04/27/2017 14:41:51,05/10/2017 23:59:00,05/02/2017 02:00:00,SHIP CONFIRM,MAY-17,Q4FY17
"102,900,763","607,869,088",34,"627,065,600",102900763-34,Standard Infosys - UKH,"700,187",CLOSED,383,C,000002_INFY_L_LTL,"5,670","119,196,873",INFYJMX,KZ,CODC-SLCGUADSH-SLCROERMOND,PR3,08/08/2016 03:59:08,08/08/2016 05:27:32,04/27/2017 12:29:00,05/05/2017 23:59:00,04/27/2017 11:23:52,05/02/2017 06:00:42,05/02/2017 06:17:26,05/16/2017 23:59:00,05/11/2017 08:52:17,05/23/2017 23:59:00,05/15/2017 21:16:00,SHIP CONFIRM,MAY-17,Q4FY17
"104,203,629","610,161,965",1,"631,678,904",104203629-1,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_LTL,"1,799","119,066,782",INFYJMX,US,COC-SLCGUADSH,PR7,04/08/2017 03:20:40,04/08/2017 08:57:35,04/17/2017 12:48:00,04/19/2017 23:59:00,04/17/2017 09:49:15,04/17/2017 17:05:19,04/17/2017 17:47:54,04/20/2017 23:59:00,04/18/2017 14:47:00,05/01/2017 23:59:00,04/27/2017 07:37:00,SHIP CONFIRM,MAY-17,Q4FY17
"102,846,945","607,802,126",263,"627,080,281",102846945-263,Standard Infosys - UKH,"700,187",CLOSED,383,C,000002_INFY_L_LTL,"10,080","119,180,033",INFYJMX,AE,COC-SLCGUADSH,PR3,07/28/2016 09:40:59,08/10/2016 03:33:39,04/29/2017 07:57:00,04/28/2017 23:59:00,04/28/2017 23:47:48,04/29/2017 11:20:36,04/29/2017 11:32:04,05/02/2017 23:59:00,05/02/2017 13:47:20,05/10/2017 23:59:00,05/09/2017 23:35:00,SHIP CONFIRM,MAY-17,Q4FY17
"102,846,945","607,802,126",265,"627,080,283",102846945-265,Standard Infosys - UKH,"700,187",CLOSED,383,C,000002_INFY_L_LTL,"13,680","119,113,963",INFYJMX,AE,COC-SLCGUADSH,PR3,07/28/2016 09:40:59,08/10/2016 03:33:39,04/22/2017 10:45:00,04/24/2017 23:59:00,04/22/2017 08:31:45,04/22/2017 16:07:43,04/22/2017 16:18:52,04/25/2017 23:59:00,04/25/2017 11:59:04,05/03/2017 23:59:00,05/02/2017 01:50:00,SHIP CONFIRM,MAY-17,Q4FY17
"103,109,314","608,130,046",24,"627,637,952",103109314-24,Standard Infosys - US,"700,227",CLOSED,383,S,000001_CPU_L_LTL,"5,400","119,155,912",INFYJMX,US,COC-SLCGUADSH,PR3,09/20/2016 13:36:02,09/20/2016 17:42:44,04/27/2017 11:48:00,04/27/2017 23:59:00,04/27/2017 06:13:34,04/27/2017 15:58:01,04/30/2017 03:17:47,04/28/2017 23:59:00,05/03/2017 14:46:50,05/02/2017 23:59:00,05/05/2017 12:10:00,SHIP CONFIRM,MAY-17,Q4FY17
"103,192,924","608,235,952",2,"627,907,726",103192924-2,Internal Infosys - US,"700,442",CLOSED,383,C,000002_INFY_L_LTL,"3,512","119,090,639",INFYJMX,US,COC-SLCGUADSH,PR9,10/07/2016 03:54:21,10/07/2016 04:00:35,04/19/2017 14:32:00,04/21/2017 23:59:00,04/19/2017 12:09:07,04/19/2017 18:48:20,04/19/2017 18:57:36,04/24/2017 23:59:00,04/20/2017 14:49:15,05/01/2017 23:59:00,04/27/2017 12:01:00,SHIP CONFIRM,MAY-17,Q4FY17
"103,142,652","608,173,520",1,"627,752,132",103142652-1,Internal Infosys - US,"700,442",CLOSED,383,C,000002_INFY_L_LTL,0,"119,245,454",INFYJMX,US,COC-SLCGUADSH,PR3,09/26/2016 21:20:17,09/26/2016 21:31:09,05/08/2017 07:29:00,05/10/2017 23:59:00,05/06/2017 19:09:55,05/08/2017 15:45:13,05/08/2017 16:01:10,05/11/2017 23:59:00,05/09/2017 15:47:04,05/18/2017 23:59:00,05/15/2017 07:31:00,SHIP CONFIRM,MAY-17,Q4FY17
"102,858,686","607,816,182",79,"627,722,116",102858686-79,Standard Infosys - ITL,"700,279",CLOSED,383,C,000002_INFY_L_LTL,"11,520","119,278,575",INFYJMX,IT,CODC-SLCGUADSH-SLCROERMOND,PR2,07/29/2016 08:19:33,09/24/2016 09:45:35,05/08/2017 07:29:00,05/11/2017 23:59:00,05/06/2017 18:54:49,05/12/2017 10:28:55,05/12/2017 10:46:10,05/19/2017 23:59:00,05/15/2017 02:12:13,05/30/2017 23:59:00,05/17/2017 00:35:21,SHIP CONFIRM,JUN-17,Q4FY17
"102,858,686","607,816,182",81,"627,722,117",102858686-81,Standard Infosys - ITL,"700,279",CLOSED,383,C,000002_INFY_L_LTL,"11,520","119,188,103",INFYJMX,IT,CODC-SLCGUADSH-SLCROERMOND,PR2,07/29/2016 08:19:33,09/24/2016 09:45:35,04/26/2017 06:33:00,04/28/2017 23:59:00,04/25/2017 22:43:33,05/01/2017 00:26:42,05/01/2017 00:49:15,05/10/2017 23:59:00,05/01/2017 09:22:00,05/19/2017 23:59:00,05/04/2017 00:50:18,SHIP CONFIRM,MAY-17,Q4FY17
"103,303,518","608,373,555",2,"628,222,472",103303518-2,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_LTL,0,"119,086,172",INFYJMX,US,COC-SLCGUADSH,PR5,10/26/2016 02:12:54,10/26/2016 02:50:30,04/19/2017 05:45:00,04/24/2017 23:59:00,04/19/2017 03:53:16,04/19/2017 10:21:17,04/19/2017 10:41:35,04/25/2017 23:59:00,04/20/2017 16:14:38,05/03/2017 23:59:00,04/26/2017 07:39:00,CUSTOMS CLEARANCE,MAY-17,Q4FY17
"103,179,967","608,220,398",2,"628,066,252",103179967-2,Standard Infosys - CAN,"700,173",CLOSED,383,C,000002_INFY_L_EXP,"15,783","119,347,455",INFYJMX,CA,COC-SLCGUADSH,PR3,10/03/2016 12:13:14,10/17/2016 11:50:28,05/23/2017 13:16:00,05/23/2017 23:59:00,05/23/2017 13:29:55,05/23/2017 16:09:13,05/23/2017 16:23:48,05/24/2017 23:59:00,05/24/2017 13:21:42,05/30/2017 23:59:00,05/29/2017 06:35:00,DELIVERED,JUN-17,Q4FY17
"104,406,110","610,497,239",10,"632,807,573",104406110-10,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_LTL,400,"119,399,276",INFYJMX,US,COC-SLCGUADSH,PR4,05/16/2017 12:17:08,05/24/2017 15:38:20,05/30/2017 18:58:54,06/01/2017 23:59:00,05/30/2017 17:41:13,05/30/2017 21:37:30,05/30/2017 21:48:14,06/02/2017 23:59:00,05/31/2017 14:20:34,06/12/2017 23:59:00,06/08/2017 09:51:00,CUSTOMS CLEARANCE,JUN-17,Q4FY17
"104,406,110","610,497,239",8,"632,807,571",104406110-8,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_LTL,"2,765","119,377,529",INFYJMX,US,COC-SLCGUADSH,PR6,05/16/2017 12:17:08,05/24/2017 15:38:20,05/27/2017 10:04:00,05/29/2017 23:59:00,05/27/2017 09:10:51,05/27/2017 14:43:18,05/27/2017 14:59:46,05/30/2017 23:59:00,05/29/2017 14:51:00,06/07/2017 23:59:00,06/05/2017 10:50:00,CUSTOMS CLEARANCE,JUN-17,Q4FY17
"104,406,110","610,497,239",9,"632,807,572",104406110-9,Standard Infosys - US,"700,227",CLOSED,383,C,000002_INFY_L_LTL,300,"119,416,026",INFYJMX,US,COC-SLCGUADSH,PR4,05/16/2017 12:17:08,05/24/2017 15:38:20,06/01/2017 09:16:00,06/05/2017 23:59:00,06/01/2017 06:16:17,06/01/2017 13:24:56,06/01/2017 13:39:42,06/06/2017 23:59:00,06/02/2017 14:45:56,06/14/2017 23:59:00,06/12/2017 11:05:00,CUSTOMS CLEARANCE,JUN-17,Q4FY17
"103,293,576","608,363,415",3,"628,202,348",103293576-3,Standard Infosys - US,"700,227",CLOSED,383,S,000001_ASGY_L_3_5_D,"4,208","120,183,597",INFYJMX,US,COC-SLCGUADSH,PR5,10/27/2016 13:58:01,10/27/2016 14:31:06,01/11/2017 10:12:00,06/23/2017 23:59:00,01/09/2017 19:12:33,06/23/2017 08:30:27,06/23/2017 10:24:37,06/26/2017 23:59:00,06/24/2017 09:41:50,06/28/2017 23:59:00,06/27/2017 13:36:00,SHIP CONFIRM,JUL-17,Q4FY17
"103,305,476","608,376,293",57,"628,237,543",103305476-57,Standard Infosys - UKH,"700,187",CLOSED,383,C,000002_INFY_L_LTL,999,"119,262,143",INFYJMX,EG,COC-SLCGUADSH,PR3,10/26/2016 06:11:58,10/27/2016 01:01:13,03/30/2017 15:44:52,05/03/2017 23:59:00,03/30/2017 12:05:43,05/10/2017 13:39:33,05/10/2017 13:56:09,05/11/2017 23:59:00,05/12/2017 13:47:58,05/17/2017 23:59:00,05/17/2017 20:30:00,SHIP CONFIRM,MAY-17,Q4FY17
"103,346,281","608,424,275",2,"628,386,883",103346281-2,Standard Infosys - RUS,"700,737",CLOSED,383,S,000001_CPU_L_LTL,"5,156","119,133,015",INFYJMX,RU,CODC-SLCGUADSH-SLCROERMOND,PR7,11/01/2016 12:20:20,11/01/2016 12:30:35,04/19/2017 13:23:00,04/21/2017 23:59:00,04/19/2017 05:58:24,04/25/2017 10:30:27,05/04/2017 04:16:09,06/13/2017 23:59:00,05/09/2017 10:02:58,07/10/2017 23:59:00,05/23/2017 08:50:40,SHIP CONFIRM,JUL-17,Q4FY17
"103,410,031","608,517,156",1,"628,569,140",103410031-1,Internal Infosys - US,"700,442",CLOSED,383,C,000002_INFY_L_LTL,0,"119,113,972",INFYJMX,US,COC-SLCGUADSH,PR3,11/14/2016 20:34:36,11/14/2016 20:45:38,04/22/2017 10:45:00,04/24/2017 23:59:00,04/22/2017 08:47:27,04/22/2017 16:07:54,04/22/2017 16:19:07,04/25/2017 23:59:00,04/24/2017 12:48:44,05/02/2017 23:59:00,04/26/2017 07:38:00,SHIP CONFIRM,MAY-17,Q4FY17
